time;section_name;reef_section;transect_id;point_id
Oligocene;Vitigliano;back reef;VT3;Sediment
Oligocene;Vitigliano;back reef;VT3;Sediment
Oligocene;Vitigliano;back reef;VT3;Sediment
Oligocene;Vitigliano;back reef;VT3;Sediment
Oligocene;Vitigliano;back reef;VT4;Sediment
Oligocene;Vitigliano;back reef;VT4;Sediment
Oligocene;Vitigliano;back reef;VT4;Sediment
Oligocene;Vitigliano;back reef;VT4;Sediment
Oligocene;Vitigliano;back reef;VT4;Sediment
Oligocene;Vitigliano;back reef;VT4;Sediment
Oligocene;Vitigliano;back reef;VT4;Sediment
Oligocene;Vitigliano;back reef;VT4;Sediment
Oligocene;Vitigliano;back reef;VT4;Sediment
Oligocene;Vitigliano;back reef;VT4;Sediment
Oligocene;Vitigliano;back reef;VT4;Sediment
Oligocene;Vitigliano;back reef;VT4;Sediment
Oligocene;Vitigliano;back reef;VT4;Sediment
Oligocene;Vitigliano;back reef;VT4;Sediment
Oligocene;Vitigliano;back reef;VT4;Sediment
Oligocene;Vitigliano;back reef;VT4;Sediment
Oligocene;Vitigliano;back reef;VT4;Sediment
Oligocene;Vitigliano;back reef;VT4;Sediment
Oligocene;Vitigliano;back reef;VT4;Sediment
Oligocene;Vitigliano;back reef;VT4;Sediment
Oligocene;Vitigliano;back reef;VT4;Sediment
Oligocene;Vitigliano;back reef;VT4;Sediment
Oligocene;Vitigliano;back reef;VT4;Sediment
Oligocene;Vitigliano;back reef;VT4;Sediment
Oligocene;Vitigliano;back reef;VT4;Sediment
Oligocene;Vitigliano;back reef;VT4;Sediment
Oligocene;Vitigliano;back reef;VT4;Sediment
Oligocene;Vitigliano;back reef;VT4;Sediment
Oligocene;Vitigliano;back reef;VT4;Sediment
Oligocene;Vitigliano;back reef;VT4;Sediment
Oligocene;Vitigliano;back reef;VT4;Sediment
Oligocene;Vitigliano;back reef;VT4;Sediment
Oligocene;Vitigliano;back reef;VT4;Sediment
Oligocene;Vitigliano;back reef;VT4;Sediment
Oligocene;Vitigliano;back reef;VT4;Sediment
Oligocene;Vitigliano;back reef;VT4;Sediment
Oligocene;Vitigliano;back reef;VT4;Sediment
Oligocene;Vitigliano;back reef;VT4;Sediment
Oligocene;Santa Cesarea;reef front;SCT1;Sediment
Oligocene;Santa Cesarea;reef front;SCT1;Sediment
Oligocene;Santa Cesarea;reef front;SCT1;Sediment
Oligocene;Santa Cesarea;reef front;SCT1;Sediment
Oligocene;Santa Cesarea;reef front;SCT2;Sediment
Oligocene;Santa Cesarea;reef front;SCT5;Sediment
Oligocene;Santa Cesarea;reef front;SCT5;Sediment
Oligocene;Porto Miggiano;proximal slope;PML1;Sediment
Oligocene;Porto Miggiano;proximal slope;PML1;Sediment
Oligocene;Porto Miggiano;proximal slope;PML1;Sediment
Oligocene;Porto Miggiano;proximal slope;PML1;Sediment
Oligocene;Porto Miggiano;proximal slope;PML1;Sediment
Oligocene;Porto Miggiano;proximal slope;PML1;Sediment
Oligocene;Porto Miggiano;proximal slope;PML1;Sediment
Oligocene;Porto Miggiano;proximal slope;PML1;Sediment
Oligocene;Porto Miggiano;proximal slope;PML1;Sediment
Oligocene;Porto Miggiano;proximal slope;PML1;Sediment
