specimen_id;genus;Section name;latitude;longitude;height (cm);width (cm);growth (mm)
VD6b;Actinacis;V;40,0375;18,418056;32;121;2,14
VD6b;Actinacis;V;40,0375;18,418056;32;121;1,28
VD6b;Actinacis;V;40,0375;18,418056;32;121;1,8
VD6b;Actinacis;V;40,0375;18,418056;32;121;3,88
VD6b;Actinacis;V;40,0375;18,418056;32;121;1
VD6b;Actinacis;V;40,0375;18,418056;32;121;1,25
VD7;Actinacis;V;40,0375;18,419444;19;65;1,51
VD7;Actinacis;V;40,0375;18,419444;19;65;1,85
VD7;Actinacis;V;40,0375;18,419444;19;65;20,9
VD7;Actinacis;V;40,0375;18,419444;19;65;2,52
VD7;Actinacis;V;40,0375;18,419444;19;65;2,15
VD7;Actinacis;V;40,0375;18,419444;19;65;2,67
VD7;Actinacis;V;40,0375;18,419444;19;65;1,12
VD7;Actinacis;V;40,0375;18,419444;19;65;1,82
VD7;Actinacis;V;40,0375;18,419444;19;65;2,03
VD7;Actinacis;V;40,0375;18,419444;19;65;1,58
VD7;Actinacis;V;40,0375;18,419444;19;65;1,18
VD7;Actinacis;V;40,0375;18,419444;19;65;2,02
VD7;Actinacis;V;40,0375;18,419444;19;65;3,1
VD7;Actinacis;V;40,0375;18,419444;19;65;2,41
VD7;Actinacis;V;40,0375;18,419444;19;65;2,87
VD7;Actinacis;V;40,0375;18,419444;19;65;1,59
VD7;Actinacis;V;40,0375;18,419444;19;65;1,65
VD7;Actinacis;V;40,0375;18,419444;19;65;1,63
VD7;Actinacis;V;40,0375;18,419444;19;65;1,18
VD7;Actinacis;V;40,0375;18,419444;19;65;1,03
VD7;Actinacis;V;40,0375;18,419444;19;65;2,56
VD7;Actinacis;V;40,0375;18,419444;19;65;2,53
VD7;Actinacis;V;40,0375;18,419444;19;65;3,33
VD8a;Pavona?;;40,040278;18,418056;10;48;1,93
VD8a;Pavona?;;40,040278;18,418056;10;48;1,83
VD8a;Pavona?;;40,040278;18,418056;10;48;1,79
VD8a;Pavona?;;40,040278;18,418056;10;48;1,96
VD8a;Pavona?;;40,040278;18,418056;10;48;1,55
VD8a;Pavona?;;40,040278;18,418056;10;48;0,75
VD8a;Pavona?;;40,040278;18,418056;10;48;1,02
VD8a;Pavona?;;40,040278;18,418056;10;48;0,87
VD8a;Pavona?;;40,040278;18,418056;10;48;0,69
VD8a;Pavona?;;40,040278;18,418056;10;48;0,72
VD8a;Pavona?;;40,040278;18,418056;10;48;0,67
VD8a;Pavona?;;40,040278;18,418056;10;48;0,88
VD8a;Pavona?;;40,040278;18,418056;10;48;0,76
VD8a;Pavona?;;40,040278;18,418056;10;48;0,87
VD8a;Pavona?;;40,040278;18,418056;10;48;1,05
VD8a;Pavona?;;40,040278;18,418056;10;48;0,59
VD8b;Pavona?;V;40,040278;18,418056;10;48;0,71
VD8b;Pavona?;V;40,040278;18,418056;10;48;0,54
VD8b;Pavona?;V;40,040278;18,418056;10;48;0,43
VD8b;Pavona?;V;40,040278;18,418056;10;48;0,82
VD8b;Pavona?;V;40,040278;18,418056;10;48;1,02
VD8b;Pavona?;V;40,040278;18,418056;10;48;0,8
VD8b;Pavona?;V;40,040278;18,418056;10;48;0,58
VD8b;Pavona?;V;40,040278;18,418056;10;48;0,45
VD8b;Pavona?;V;40,040278;18,418056;10;48;0,84
VD8b;Pavona?;V;40,040278;18,418056;10;48;0,49
VD8b;Pavona?;V;40,040278;18,418056;10;48;0,8
VD8b;Pavona?;V;40,040278;18,418056;10;48;1,08
VD8b;Pavona?;V;40,040278;18,418056;10;48;skip 18.54 
VD8b;Pavona?;V;40,040278;18,418056;10;48;1,2
VD8b;Pavona?;V;40,040278;18,418056;10;48;1,25
VD8b;Pavona?;V;40,040278;18,418056;10;48;1,5
VD8b;Pavona?;V;40,040278;18,418056;10;48;1,32
VD8b;Pavona?;V;40,040278;18,418056;10;48;1,25
VD8b;Pavona?;V;40,040278;18,418056;10;48;1,4
VD8b;Pavona?;V;40,040278;18,418056;10;48;1,15
VD8b;Pavona?;V;40,040278;18,418056;10;48;1,3
VD8b;Pavona?;V;40,040278;18,418056;10;48;1,17
VD8b;Pavona?;V;40,040278;18,418056;10;48;1,19
VD8b;Pavona?;V;40,040278;18,418056;10;48;1,13
VD8b;Pavona?;V;40,040278;18,418056;10;48;1,45
VD9;Tabelastrea;V;40,040278;18,418056;29;37;1,87
VD9;Tabelastrea;V;40,040278;18,418056;29;37;2,61
VD9;Tabelastrea;V;40,040278;18,418056;29;37;3,01
VD9;Tabelastrea;V;40,040278;18,418056;29;37;1,59
VD9;Tabelastrea;V;40,040278;18,418056;29;37;2,54
VD9;Tabelastrea;V;40,040278;18,418056;29;37;2,56
VD9;Tabelastrea;V;40,040278;18,418056;29;37;1,58
VD9;Tabelastrea;V;40,040278;18,418056;29;37;2,95
VD9;Tabelastrea;V;40,040278;18,418056;29;37;2,42
VD9;Tabelastrea;V;40,040278;18,418056;29;37;2,32
VD9;Tabelastrea;V;40,040278;18,418056;29;37;1,71
VD10;Porites;V;40,040278;18,416667;14;36;3,22
VD10;Porites;V;40,040278;18,416667;14;36;2,98
VD10;Porites;V;40,040278;18,416667;14;36;3,52
VD10;Porites;V;40,040278;18,416667;14;36;5,02
VD10;Porites;V;40,040278;18,416667;14;36;4,3
VD10;Porites;V;40,040278;18,416667;14;36;4,07
VD10;Porites;V;40,040278;18,416667;14;36;3,98
VD10;Porites;V;40,040278;18,416667;14;36;3,39
VD10;Porites;V;40,040278;18,416667;14;36;3,73
VD10;Porites;V;40,040278;18,416667;14;36;3,01
VD10;Porites;V;40,040278;18,416667;14;36;3,62
VD10;Porites;V;40,040278;18,416667;14;36;4,18
VD10;Porites;V;40,040278;18,416667;14;36;3,07
VD10;Porites;V;40,040278;18,416667;14;36;3,99
VD10;Porites;V;40,040278;18,416667;14;36;3,88
VD10;Porites;V;40,040278;18,416667;14;36;5,38
VD10;Porites;V;40,040278;18,416667;14;36;3,42
VD10;Porites;V;40,040278;18,416667;14;36;2,76
VD10;Porites;V;40,040278;18,416667;14;36;3,31
VD10;Porites;V;40,040278;18,416667;14;36;2,85
VD10;Porites;V;40,040278;18,416667;14;36;2,83
VD10;Porites;V;40,040278;18,416667;14;36;3,95
VD10;Porites;V;40,040278;18,416667;14;36;3,42
VD10;Porites;V;40,040278;18,416667;14;36;3,9
VD10;Porites;V;40,040278;18,416667;14;36;4,6
VD11;Tabelastrea;V;40,040278;18,418056;48;92;1,97
VD11;Tabelastrea;V;40,040278;18,418056;48;92;3,9
VD11;Tabelastrea;V;40,040278;18,418056;48;92;3,3
VD11;Tabelastrea;V;40,040278;18,418056;48;92;2,63
VD11;Tabelastrea;V;40,040278;18,418056;48;92;2,64
VD11;Tabelastrea;V;40,040278;18,418056;48;92;2,95
VD11;Tabelastrea;V;40,040278;18,418056;48;92;3,53
VD11;Tabelastrea;V;40,040278;18,418056;48;92;3,19
VD11;Tabelastrea;V;40,040278;18,418056;48;92;2,72
VD11;Tabelastrea;V;40,040278;18,418056;48;92;2,19
VD11;Tabelastrea;V;40,040278;18,418056;48;92;2,55
VD11;Tabelastrea;V;40,040278;18,418056;48;92;2,97
VD11;Tabelastrea;V;40,040278;18,418056;48;92;3,98
VD11;Tabelastrea;V;40,040278;18,418056;48;92;3,12
VD11;Tabelastrea;V;40,040278;18,418056;48;92;3,68
VD11;Tabelastrea;V;40,040278;18,418056;48;92;2,4
VD11;Tabelastrea;V;40,040278;18,418056;48;92;3,8
VD11;Tabelastrea;V;40,040278;18,418056;48;92;3,42
VD11;Tabelastrea;V;40,040278;18,418056;48;92;4,07
VD11;Tabelastrea;V;40,040278;18,418056;48;92;2,82
VD11;Tabelastrea;V;40,040278;18,418056;48;92;2,92
VD11;Tabelastrea;V;40,040278;18,418056;48;92;2,99
VD11;Tabelastrea;V;40,040278;18,418056;48;92;2,84
VD11;Tabelastrea;V;40,040278;18,418056;48;92;2,89
VD11;Tabelastrea;V;40,040278;18,418056;48;92;2,71
VD11;Tabelastrea;V;40,040278;18,418056;48;92;3,14
VD11;Tabelastrea;V;40,040278;18,418056;48;92;3,35
VD11;Tabelastrea;V;40,040278;18,418056;48;92;2,67
VD11;Tabelastrea;V;40,040278;18,418056;48;92;2,65
VD11;Tabelastrea;V;40,040278;18,418056;48;92;3,85
VD11;Tabelastrea;V;40,040278;18,418056;48;92;5,08
VD11;Tabelastrea;V;40,040278;18,418056;48;92;4,85
VD11;Tabelastrea;V;40,040278;18,418056;48;92;3,41
VD11;Tabelastrea;V;40,040278;18,418056;48;92;3,92
VD11;Tabelastrea;V;40,040278;18,418056;48;92;4,11
VD11;Tabelastrea;V;40,040278;18,418056;48;92;3,83
VD11;Tabelastrea;V;40,040278;18,418056;48;92;4,59
VD11;Tabelastrea;V;40,040278;18,418056;48;92;4,14
VD12;Porites;V;40,040278;18,418056;27;30;1,98
VD12;Porites;V;40,040278;18,418056;27;30;8,5
VD12;Porites;V;40,040278;18,418056;27;30;5,44
VD12;Porites;V;40,040278;18,418056;27;30;4,62
VD12;Porites;V;40,040278;18,418056;27;30;2,7
VD12;Porites;V;40,040278;18,418056;27;30;4,1
VD12;Porites;V;40,040278;18,418056;27;30;2,85
VD12;Porites;V;40,040278;18,418056;27;30;1,99
VD12;Porites;V;40,040278;18,418056;27;30;3,05
VD12;Porites;V;40,040278;18,418056;27;30;2,96
VD12;Porites;V;40,040278;18,418056;27;30;3,46
VD12;Porites;V;40,040278;18,418056;27;30;3,77
VD12;Porites;V;40,040278;18,418056;27;30;2,9
VD12;Porites;V;40,040278;18,418056;27;30;2,96
VD12;Porites;V;40,040278;18,418056;27;30;2,82
VD12;Porites;V;40,040278;18,418056;27;30;2,88
VD12;Porites;V;40,040278;18,418056;27;30;2,28
VD12;Porites;V;40,040278;18,418056;27;30;2,85
VD12;Porites;V;40,040278;18,418056;27;30;4,4
VD12;Porites;V;40,040278;18,418056;27;30;4,1
VD12;Porites;V;40,040278;18,418056;27;30;3,89
VD12;Porites;V;40,040278;18,418056;27;30;2,99
VD12;Porites;V;40,040278;18,418056;27;30;3,34
VD12;Porites;V;40,040278;18,418056;27;30;4,41
VD12;Porites;V;40,040278;18,418056;27;30;4,54
