gr.por.trait_name;gr.por.specie_name;gr.por.value;gr.por.standard_unit;gr.por.value_type;gr.por.location_name;;gr.por.methodology_name;;;;
Growth rate;Porites astreoides;1,7;mm yr^-1;mean;North Rock; Bermuda Island;X-radiography (densitometer);;;;
Growth rate;Porites astreoides;1,7;mm yr^-1;mean;Main Terrace reefs; Bermuda Island;X-radiography (densitometer);;;;
Growth rate;Porites astreoides;1,6;mm yr^-1;mean;Main Terrace reefs; Bermuda Island;X-radiography (densitometer);;;;
Growth rate;Porites astreoides;1,4;mm yr^-1;mean;Bermuda Island; Fore-reef slope south;X-radiography (densitometer);;;;
Growth rate;Porites lutea;23,02;mm yr^-1;mean;Ao Man; Thailand ;Alizarin stain;;;;
Growth rate;Porites lutea;22,52;mm yr^-1;mean;Ko Lon; Thailand;Alizarin stain;;;;
Growth rate;Porites lutea;22,13;mm yr^-1;mean;Tin Smelter; Phuket; Thailand;Alizarin stain;;;
Growth rate;Porites lutea;23,76;mm yr^-1;mean;Porites Bay; Thailand;Alizarin stain;;;;
Growth rate;Porites lutea;21,83;mm yr^-1;mean;Ko Phi Phi; Thailand;Alizarin stain;;;;
Growth rate;Porites lutea;18,27;mm yr^-1;mean;Yam Yen; Phuket; Thailand ;Alizarin stain;;;
Growth rate;Porites lutea;23,91;mm yr^-1;mean;Ko Hi; Thailand;Alizarin stain;;;;
Growth rate;Porites lutea;18,76;mm yr^-1;mean;Shark Point; Thailand;Alizarin stain;;;;
Growth rate;Porites lutea;20,5;mm yr^-1;mean;Ko Bon; Thailand;Alizarin stain;;;;
Growth rate;Porites lutea;16,73;mm yr^-1;mean;Ko Racha Yai; Thailand;Alizarin stain;;;;
Growth rate;Porites lutea;14,16;mm yr^-1;mean;Ko Miang; Thailand;Alizarin stain;;;;
Growth rate;Porites lutea;5,66;mm yr^-1;mean;Gulf of Aqaba; Red Sea;;;;;
Growth rate;Porites lutea;3;mm yr^-1;mean;Gulf of Aqaba; Red Sea;;;;;
Growth rate;Porites lutea;19,21;mm yr^-1;mean;Koh Lon South Thailand Indo-Pacific;Alizarin stain;;;;;
Growth rate;Porites lutea;17,08;mm yr^-1;mean;Tin Smelter; Phuket; Thailand;Alizarin stain;;;
Growth rate;Porites lutea;16,83;mm yr^-1;mean;Porites Bay; Thailand;Alizarin stain;;;;
Growth rate;Porites lutea;21,59;mm yr^-1;mean;Ko Phi Phi; Thailand;Alizarin stain;;;;
Growth rate;Porites lutea;15,31;mm yr^-1;mean;Yam Yen; Phuket; Thailand ;Alizarin stain;;;
Growth rate;Porites lutea;16,1;mm yr^-1;mean;Koh Bon South Thailand Indo-Pacific;Alizarin stain;;;;;
Growth rate;Porites lutea;19,11;mm yr^-1;mean;Koh Hae South Thailand Indo-Pacific;Alizarin stain;;;;;
Growth rate;Porites lutea;15,42;mm yr^-1;mean;Koh Racha Yai South Thailand Indo-Pacific;Alizarin stain;;;;;
Growth rate;Porites astreoides;4,3;mm yr^-1;mean;Cheeca Patch; Florida;Callipers;;;;
Growth rate;Porites astreoides;3,5;mm yr^-1;mean;Conch Reef; Florida;Callipers;;;;
Growth rate;Porites lutea;15,2;mm yr^-1;mean;Gulf of Aqaba; Red Sea;X-radiography (densitometer);;;;
Growth rate;Porites nodifera;11,2;mm yr^-1;mean;Eilat; Israel;X-radiography (densitometer);;;;
Growth rate;Porites lobata;8;mm yr^-1;mean;Davies Reef;X-radiography (densitometer);;;;;
Growth rate;Porites lobata;9;mm yr^-1;mean;Davies Reef;X-radiography (densitometer);;;;;
Growth rate;Porites lobata;19;mm yr^-1;mean;Wheeler Reef; GBR;X-radiography (densitometer);;;;
Growth rate;Porites lutea;15;mm yr^-1;mean;Davies Reef;X-radiography (densitometer);;;;;
Growth rate;Porites lutea;12;mm yr^-1;mean;Davies Reef;X-radiography (densitometer);;;;;
Growth rate;Porites lutea;14;mm yr^-1;mean;Davies Reef;X-radiography (densitometer);;;;;
Growth rate;Porites mayeri;13;mm yr^-1;mean;Davies Reef;X-radiography (densitometer);;;;;
Growth rate;Porites lutea;8,4;mm yr^-1;mean;Gulf of Aqaba; Red Sea;X-radiography (densitometer);;;;
Growth rate;Porites lutea;3;mm yr^-1;mean;Gulf of Aqaba; Red Sea;X-radiography (densitometer);;;;
Growth rate;Porites astreoides;4,75;mm yr^-1;mean;Carrie Bow Cay; Belize;X-radiography (densitometer);;;;
Growth rate;Porites solida;7,2;mm yr^-1;mean;Pandora Reef;X-radiography (densitometer);;;;;
Growth rate;Porites furcata;53,3;mm yr^-1;mean;St. Croix;Alizarin stain;;;;;
Growth rate;Porites cylindrica;7,4;mm yr^-1;mean;Maldives;Alizarin stain;;;;;
Growth rate;Porites lobata;14,8;mm yr^-1;mean;Maldives;Alizarin stain;;;;;
Growth rate;Porites lutea;22,5;mm yr^-1;mean;Ko Phuket; Thailand;Alizarin stain;;;;
Growth rate;Porites lutea;21,9;mm yr^-1;mean;Ko Phuket; Thailand;Alizarin stain;;;;
Growth rate;Porites lutea;20,9;mm yr^-1;mean;Ko Phuket; Thailand;Alizarin stain;;;;
