time;mean growth;genus;specimen_id;reef section
modern;9,5;;;
modern;8;;;
modern;7,1;;;
modern;9,1;;;
modern;7,2;;;
modern;8,8;;;
modern;7;;;
modern;6,8;;;
modern;7,9;;;
modern;7,7;;;
modern;8,4;;;
modern;7,8;;;
modern;8,4;;;
modern;0,17;;;
modern;0,31;;;
modern;58,1;;;
modern;41,5;;;
modern;19,3;;;
modern;43,3;;;
modern;25,1;;;
modern;16,3;;;
modern;12,1;;;
modern;17,8;;;
modern;0,1;;;
modern;0,046;;;
modern;0,079;;;
modern;0,077;;;
modern;0,121;;;
modern;0,078;;;
modern;0,095;;;
modern;0,093;;;
modern;0,084;;;
modern;0,104;;;
modern;0,008;;;
modern;0,084;;;
modern;0,086;;;
modern;0,096;;;
modern;0,074;;;
modern;0,089;;;
modern;146;;;
modern;110;;;
modern;125;;;
modern;90;;;
modern;85;;;
modern;60;;;
modern;80;;;
modern;55;;;
modern;65;;;
modern;5,78;;;
modern;3,52;;;
modern;4;;;
modern;4,2;;;
modern;4,8;;;
modern;4,33;;;
modern;71;;;
modern;113;;;
modern;135;;;
modern;282;;;
modern;142;;;
modern;333;;;
modern;3,98;;;
modern;10,04;;;
modern;15,26;;;
modern;2,62;;;
modern;1,732;;;
modern;1,056;;;
modern;2,095;;;
modern;1,274;;;
modern;0,441;;;
modern;1,406;;;
modern;0,561;;;
modern;2,065;;;
modern;1,909;;;
modern;3,097;;;
modern;1,785;;;
modern;2,245;;;
modern;1,928;;;
modern;4,43;;;
modern;3,43;;;
modern;4,47;;;
modern;3,57;;;
modern;0,86;;;
modern;1,16;;;
modern;0,92;;;
modern;0,9;;;
modern;0,95;;;
modern;1,15;;;
modern;0,79;;;
modern;1;;;
modern;5,9;;;
modern;8,8;;;
modern;6,68;;;
modern;6,68;;;
modern;4,28;;;
modern;4,79;;;
modern;2,14;;;
modern;5,09;;;
modern;4,82;;;
modern;1,7;;;
modern;1,86;;;
modern;4,74;;;
modern;1,54;;;
modern;4,83;;;
modern;4,83;;;
modern;1,63;;;
modern;6,68;;;
modern;4,82;;;
modern;1,7;;;
modern;1,63;;;
modern;4,83;;;
modern;16,1;;;
modern;15,4;;;
modern;13,5;;;
modern;16;;;
modern;13,7;;;
modern;16,2;;;
modern;14;;;
modern;14;;;
modern;16,3;;;
modern;16;;;
modern;11,7;;;
modern;13,5;;;
modern;13,8;;;
modern;3,53;;;
modern;4,33;;;
modern;3,58;;;
modern;4,81;;;
modern;2,95;;;
modern;3,63;;;
modern;3,83;;;
modern;4,09;;;
modern;2,79;;;
modern;4,41;;;
modern;3,16;;;
modern;2,94;;;
modern;0,16;;;
modern;0,0075;;;
modern;0,114;;;
modern;0,121;;;
modern;6,1;;;
modern;9,9;;;
modern;10,4;;;
modern;9,6;;;
modern;8,3;;;
modern;3,5;;;
modern;29,8;;;
modern;34,6;;;
modern;31,7;;;
modern;34,8;;;
modern;15,3;;;
modern;11,7;;;
modern;10,5;;;
modern;6,2;;;
modern;8,4;;;
modern;7;;;
modern;7,6;;;
modern;7,5;;;
modern;4,5;;;
modern;21,3;;;
modern;13,8;;;
modern;2,545;;;
modern;2,66;;;
modern;3,069;;;
modern;2,124;;;
modern;1,952;;;
modern;2,494;;;
modern;2,667;;;
modern;1,818;;;
modern;2,348;;;
modern;0,6;;;
modern;0,4;;;
modern;0,4;;;
modern;0,5;;;
modern;0,5;;;
modern;0,5;;;
modern;0,7;;;
modern;0,7;;;
modern;12,7;;;
modern;20,6;;;
modern;15,8;;;
modern;23;;;
modern;20,7;;;
modern;16,3;;;
modern;18,5;;;
modern;18;;;
modern;17,1;;;
modern;20,5;;;
modern;16,3;;;
modern;53,1;;;
modern;66,8;;;
modern;38;;;
modern;43,8;;;
modern;41,2;;;
modern;52,1;;;
modern;30,8;;;
modern;31,5;;;
modern;44,6;;;
modern;34,2;;;
modern;9,5;;;
modern;18,7;;;
modern;5,76;;;
modern;8,3;;;
modern;9,6;;;
modern;0,8;;;
modern;11,9;;;
modern;1,19;;;
modern;1,15;;;
modern;69;;;
modern;6,1;;;
modern;12,1;;;
modern;7,9;;;
modern;11,2;;;
modern;7,5;;;
modern;3;;;
modern;3,7;;;
modern;28,2;;;
modern;27,5;;;
modern;28,1;;;
modern;26,6;;;
modern;22,33;;;
modern;13,375;;;
modern;15,232;;;
modern;8,731;;;
modern;5,062;;;
modern;3,019;;;
modern;6,78;;;
modern;7,384;;;
modern;4,18;;;
modern;2,33;;;
modern;17,1;;;
modern;8,05;;;
modern;1,6;;;
modern;1,6;;;
modern;4,1;;;
modern;4,6;;;
modern;3,4;;;
modern;3,25;;;
modern;3,2;;;
