time;;specimen_id;genus;Section name;latitude;longitude;height (cm);width (cm);growth mm;comments;;;
Oligocene;Oligocene reef front;SC4;Porites;SC;40,040278;18,447222;19;70;2,31;;;;
Oligocene;Oligocene reef front;SC4;Porites;SC;40,040278;18,447222;19;70;2,12;;;;
Oligocene;Oligocene reef front;SC4;Porites;SC;40,040278;18,447222;19;70;1,92;;;;
Oligocene;Oligocene reef front;SC4;Porites;SC;40,040278;18,447222;19;70;2,5;;;;
Oligocene;Oligocene reef front;SC4;Porites;SC;40,040278;18,447222;19;70;2,07;;;;
Oligocene;Oligocene reef front;SC4;Porites;SC;40,040278;18,447222;19;70;2,78;;;;
Oligocene;Oligocene reef front;SC4;Porites;SC;40,040278;18,447222;19;70;2,45;;;;
Oligocene;Oligocene reef front;SC4;Porites;SC;40,040278;18,447222;19;70;3,12;right side;;;
Oligocene;Oligocene reef front;SC4;Porites;SC;40,040278;18,447222;19;70;3,2;;;;
Oligocene;Oligocene reef front;SC4;Porites;SC;40,040278;18,447222;19;70;3,21;;;;
Oligocene;Oligocene reef front;SC4;Porites;SC;40,040278;18,447222;19;70;3,72;;;;
Oligocene;Oligocene reef front;SC4;Porites;SC;40,040278;18,447222;19;70;2,1;;;;
Oligocene;Oligocene reef front;SC4;Porites;SC;40,040278;18,447222;19;70;3,39;;;;
Oligocene;Oligocene reef front;SC4;Porites;SC;40,040278;18,447222;19;70;2,85;;;;
Oligocene;Oligocene reef front;SC4;Porites;SC;40,040278;18,447222;19;70;2,94;;;;
Oligocene;Oligocene reef front;SC4;Porites;SC;40,040278;18,447222;19;70;2,26;;;;
Oligocene;Oligocene reef front;SC4;Porites;SC;40,040278;18,447222;19;70;3,09;;;;
Oligocene;Oligocene reef front;SC4;Porites;SC;40,040278;18,447222;19;70;2,72;;;;
Oligocene;Oligocene reef front;SC4;Porites;SC;40,040278;18,447222;19;70;2,15;;;;
Oligocene;Oligocene reef front;SC4;Porites;SC;40,040278;18,447222;19;70;3,03;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;4,33;right side;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;4,59;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;4,79;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;10,12;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;10,73;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;12,45;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;7,66;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;7,5;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;6,53;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;5,25;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;5,66;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;8,74;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;6,83;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;7,52;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;8,41;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;6,6;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;3,01;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;4,88;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;5,88;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;7,09;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;4,84;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;4,7;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;4,82;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;4,59;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;3,23;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;3,41;;;;
