specimen id;genus;Section name;latitude;longitude;height cm;width cm;growth mm
SC5a;Porites;SC;40,038889;18,443056;60;130;3,41
SC5a;Porites;SC;40,038889;18,443056;60;130;6,14
SC5a;Porites;SC;40,038889;18,443056;60;130;2,19
SC5a;Porites;SC;40,038889;18,443056;60;130;2,52
SC5a;Porites;SC;40,038889;18,443056;60;130;7,26
SC5a;Porites;SC;40,038889;18,443056;60;130;6,43
SC5a;Porites;SC;40,038889;18,443056;60;130;3,93
SC5a;Porites;SC;40,038889;18,443056;60;130;4,43
SC5b;Porites;SC;40,038889;18,443056;60;130;3,92
SC5b;Porites;SC;40,038889;18,443056;60;130;5,36
SC5b;Porites;SC;40,038889;18,443056;60;130;3,16
SC5b;Porites;SC;40,038889;18,443056;60;130;3,1
SC5b;Porites;SC;40,038889;18,443056;60;130;4,44
SC5b;Porites;SC;40,038889;18,443056;60;130;4,15
SC5b;Porites;SC;40,038889;18,443056;60;130;3,67
SC5b;Porites;SC;40,038889;18,443056;60;130;3,56
SC5b;Porites;SC;40,038889;18,443056;60;130;4,2
SC5b;Porites;SC;40,038889;18,443056;60;130;4,02
SC5b;Porites;SC;40,038889;18,443056;60;130;3,82
SC5b;Porites;SC;40,038889;18,443056;60;130;3,31
SC5b;Porites;SC;40,038889;18,443056;60;130;4,8
SC5b;Porites;SC;40,038889;18,443056;60;130;4,96
SC5b;Porites;SC;40,038889;18,443056;60;130;8,52
SC5b;Porites;SC;40,038889;18,443056;60;130;6,91
SC5b;Porites;SC;40,038889;18,443056;60;130;8,15
SC5b;Porites;SC;40,038889;18,443056;60;130;6,13
SC5b;Porites;SC;40,038889;18,443056;60;130;5,43
SC5b;Porites;SC;40,038889;18,443056;60;130;4,04
SC5b;Porites;SC;40,038889;18,443056;60;130;6,79
SC5b;Porites;SC;40,038889;18,443056;60;130;5,27
SC5b;Porites;SC;40,038889;18,443056;60;130;5,05
SC5b;Porites;SC;40,038889;18,443056;60;130;8,92
SC5b;Porites;SC;40,038889;18,443056;60;130;4,5
SC5b;Porites;SC;40,038889;18,443056;60;130;5,89
SC5b;Porites;SC;40,038889;18,443056;60;130;8,5
SC5b;Porites;SC;40,038889;18,443056;60;130;6,13
SC5b;Porites;SC;40,038889;18,443056;60;130;5,43
SC5b;Porites;SC;40,038889;18,443056;60;130;4,04
SC5b;Porites;SC;40,038889;18,443056;60;130;6,79
SC5b;Porites;SC;40,038889;18,443056;60;130;5,27
SC5b;Porites;SC;40,038889;18,443056;60;130;5,05
SC5b;Porites;SC;40,038889;18,443056;60;130;8,9
SC5b;Porites;SC;40,038889;18,443056;60;130;4,5
SC5b;Porites;SC;40,038889;18,443056;60;130;5,89
SC5b;Porites;SC;40,038889;18,443056;60;130;8,5
SC5b;Porites;SC;40,038889;18,443056;60;130;5,38
SC5b;Porites;SC;40,038889;18,443056;60;130;7,65
SC5b;Porites;SC;40,038889;18,443056;60;130;4,41
SC5b;Porites;SC;40,038889;18,443056;60;130;2,09
SC5b;Porites;SC;40,038889;18,443056;60;130;2,72
SC6;Porites;SC;40,040278;18,443056;45;55;4,89
SC6;Porites;SC;40,040278;18,443056;45;55;2,34
SC6;Porites;SC;40,040278;18,443056;45;55;3,06
SC6;Porites;SC;40,040278;18,443056;45;55;5,22
SC6;Porites;SC;40,040278;18,443056;45;55;5,76
SC6;Porites;SC;40,040278;18,443056;45;55;3,59
SC6;Porites;SC;40,040278;18,443056;45;55;3,69
SC6;Porites;SC;40,040278;18,443056;45;55;5,13
SC6;Porites;SC;40,040278;18,443056;45;55;2,63
SC6;Porites;SC;40,040278;18,443056;45;55;5,31
SC6;Porites;SC;40,040278;18,443056;45;55;3,97
SC6;Porites;SC;40,040278;18,443056;45;55;5,32
SC6;Porites;SC;40,040278;18,443056;45;55;4,32
SC6;Porites;SC;40,040278;18,443056;45;55;4,68
SC6;Porites;SC;40,040278;18,443056;45;55;2,63
SC6;Porites;SC;40,040278;18,443056;45;55;5,19
SC6;Porites;SC;40,040278;18,443056;45;55;5,51
SC6;Porites;SC;40,040278;18,443056;45;55;6,56
SC6;Porites;SC;40,040278;18,443056;45;55;7,25
SC6;Porites;SC;40,040278;18,443056;45;55;5,15
SC6;Porites;SC;40,040278;18,443056;45;55;6,03
SC6;Porites;SC;40,040278;18,443056;45;55;6,12
SC6;Porites;SC;40,040278;18,443056;45;55;5,57
SC6;Porites;SC;40,040278;18,443056;45;55;5,74
SC6;Porites;SC;40,040278;18,443056;45;55;3,81
SC7;Actinacis;SC;40,019444;18,430556;115;165;2,87
SC7;Actinacis;SC;40,019444;18,430556;115;165;5,82
SC7;Actinacis;SC;40,019444;18,430556;115;165;3,1
SC7;Actinacis;SC;40,019444;18,430556;115;165;4,65
SC7;Actinacis;SC;40,019444;18,430556;115;165;1,67
SC7;Actinacis;SC;40,019444;18,430556;115;165;1,6
SC7;Actinacis;SC;40,019444;18,430556;115;165;3,04
SC7;Actinacis;SC;40,019444;18,430556;115;165;3,35
SC7;Actinacis;SC;40,019444;18,430556;115;165;2,82
SC7;Actinacis;SC;40,019444;18,430556;115;165;2
SC7;Actinacis;SC;40,019444;18,430556;115;165;4,14
SC7;Actinacis;SC;40,019444;18,430556;115;165;1,87
SC7;Actinacis;SC;40,019444;18,430556;115;165;2,48
SC7;Actinacis;SC;40,019444;18,430556;115;165;1,6
SC7;Actinacis;SC;40,019444;18,430556;115;165;2,29
SC7;Actinacis;SC;40,019444;18,430556;115;165;1,8
SC7;Actinacis;SC;40,019444;18,430556;115;165;1,21
SC7;Actinacis;SC;40,019444;18,430556;115;165;2,27
SC7;Actinacis;SC;40,019444;18,430556;115;165;2,81
SC7;Actinacis;SC;40,019444;18,430556;115;165;3,04
SC7;Actinacis;SC;40,019444;18,430556;115;165;1,85
SC8a;Porites;SC;40,040278;18,444444;46;66;4,62
SC8a;Porites;SC;40,040278;18,444444;46;66;4,37
SC8a;Porites;SC;40,040278;18,444444;46;66;3,51
SC8a;Porites;SC;40,040278;18,444444;46;66;4,15
SC8a;Porites;SC;40,040278;18,444444;46;66;4,22
SC8a;Porites;SC;40,040278;18,444444;46;66;4,14
SC8a;Porites;SC;40,040278;18,444444;46;66;4,11
SC8a;Porites;SC;40,040278;18,444444;46;66;3,96
SC8a;Porites;SC;40,040278;18,444444;46;66;3,61
SC8a;Porites;SC;40,040278;18,444444;46;66;1,2
SC8a;Porites;SC;40,040278;18,444444;46;66;5,43
SC8a;Porites;SC;40,040278;18,444444;46;66;3,79
SC8a;Porites;SC;40,040278;18,444444;46;66;3,04
