ct.growthrate.species.name;ct.growthrate,trait,name;ct.growthrate.value;;;
Stylophora pistillata;Growth rate;30,98861538;;;
Stylophora pistillata;Growth rate;31,64861538;;;
Stylophora pistillata;Growth rate;24,31292308;;;
Stylophora pistillata;Growth rate;23,32430769;;;
Stylophora pistillata;Growth rate;18,87323077;;;
Stylophora pistillata;Growth rate;19,28584615;;;
Stylophora pistillata;Growth rate;23,81907692;;;
Stylophora pistillata;Growth rate;16,31907692;;;
Stylophora pistillata;Growth rate;20,68707692;;;
Stylophora pistillata;Growth rate;19,12061538;;;
Stylophora pistillata;Growth rate;15,08215385;;;
Stylophora pistillata;Growth rate;16,31907692;;;
Stylophora pistillata;Growth rate;19,2;;;
Stylophora pistillata;Growth rate;16,3;;;
Stylophora pistillata;Growth rate;5,8;;;
Stylophora pistillata;Growth rate;6,3;;;
Stylophora pistillata;Growth rate;7,3;;;
Stylophora pistillata;Growth rate;8,5;;;
Stylophora pistillata;Growth rate;6,51;;;
Stylophora pistillata;Growth rate;7,48;;;
Stylophora pistillata;Growth rate;9,24;;;
Stylophora pistillata;Growth rate;19,4;;;
